Product,Description,Alternates,Onhand,Condition
MS27212-5-2,TERMINAL BOARD,5940-01-361-9107,29,29
MS27212-5-3,TERMINAL BOARD,5940-01-482-6565,6,6
MS27212-5-4,TERMINAL BOARD,5940-01-472-4357,1,1
MS27212-5-5,TERMINAL BOARD,5940-01-467-9380,1,1
MS27212-5-8,TERMINAL BOARD,5940-00-950-7781,86,86
MS27212-6-1,TERMINAL BOARD,,754,754
MS27212-6-16,TERMINAL BOARD,,93,93
MS27212-6-2,TERMINAL BOARD,81333002,14,14
MS27249-1E1,TERMINAL BOARD,,2,2
NAS1063A20,TERMINAL BOARD,NAS1063A20 BLANK,104,104,,5940-01-348-8237,,
TAS8715-1-5,TERMINAL BOARD,,4,4
TAS8718-1-8,TERMINAL BOARD,5940-00-004-2161,2,2
TAS8740-1-10,TERMINAL BOARD,,3,3
TAS8769-1-7,TERMINAL BOARD,,1,1
TAS8992-2-3,TERMINAL BOARD,,3,3
TAS8992-3-1,TERMINAL BOARD,,3,3
LS7000A10-4,TERMINAL BOARD ASSY,LS7000A-10-4,4,4
LS7000A6-4,TERMINAL BOARD ASSY,,2,2
MS27212-1-14,TERMINAL BOARD ASSY,5940-01-161-7301,1,1
MS27212-1-17,TERMINAL BOARD ASSY,5940-01-361-5073,7,7
MS27212-1-2,TERMINAL BOARD ASSY,5940-00-950-1610,69,69,,5940-01-083-8784,,
MS27212-2-1,TERMINAL BOARD ASSY,5940-00-950-7784,30,30
MS27212-2-13,TERMINAL BOARD ASSY,,1,1
MS27212-2-7,TERMINAL BOARD ASSY,,214,214
MS27212-3-7,TERMINAL BOARD ASSY,5940-00-950-7782,1,1
MS27212-4-1,TERMINAL BOARD ASSY,5940-00-950-7783,1,1
MS27212-6-3,TERMINAL BOARD ASSY,,3,3
MS27212-6-6,TERMINAL BOARD ASSY,81333006,1,1
TAS8713-1C3,TERMINAL BOARD ASSY,,2,2
TAS8715-1C5,TERMINAL BOARD ASSY,,1,1
TAS8716-1-6,TERMINAL BOARD ASSY,,4,4
TAS8716-1C6,TERMINAL BOARD ASSY,,6,6
TAS8717-2C14,TERMINAL BOARD ASSY,,1,1
TAS8720-1C10,TERMINAL BOARD ASSY,,1,1
TAS8724-1C14,TERMINAL BOARD ASSY,,1,1
TAS8726-1C16,TERMINAL BOARD ASSY,,4,4
TAS8730-1C20,TERMINAL BOARD ASSY,5940-01-139-3283,4,4
TAS8733-1C3,TERMINAL BOARD ASSY,,3,3
TAS8735-1C5,TERMINAL BOARD ASSY,,1,1
TAS8736-1-6,TERMINAL BOARD ASSY,,1,1
TAS8737-1C7,TERMINAL BOARD ASSY,,2,2
TAS8745-1-15,TERMINAL BOARD ASSY,,1,1
TAS8746-1-16,TERMINAL BOARD ASSY,,1,1
TAS8746-1C16,TERMINAL BOARD ASSY,,2,2
TAS8749-1C3,TERMINAL BOARD ASSY,,1,1
TAS8772-1C2,TERMINAL BOARD ASSY,,1,1
181-000576-00,TERMINAL COVER,,3,3
M83413/8-C008PP,TERMINAL JUMPER ASSEMBLY,,25,25
M83413/8-C005PP,TERMINAL JUMPER ASSY,,15,15
M83413/8-C010BB,TERMINAL JUMPER ASSY,M83413/8-C10BB,29,29
TJM120704,TERMINAL JUNCTION,M81714/2-DB3,10,10,,538121-0060,,
SJT503404,TERMINAL JUNCTION MODULE,M81714/67-03,30,30,,M81714/67-03,,
TJT703007,TERMINAL JUNCTION MODULE,M81714/16-6,24,24,,M81714/16-6,,
1485-6,TERMINAL LUG,,6,6
160-2043-02-05-00,TERMINAL LUG,5940-00-082-4869,269,269,,SE12XC01,,
29A260,TERMINAL LUG,,10,10
322049,TERMINAL LUG,MS25036-116,2,2
322087,TERMINAL LUG,MS25036-130,2,2
323818,TERMINAL LUG,,64,64
33457,TERMINAL LUG,MS20659-105,14,14
51864,TERMINAL LUG,MS25036-107,492,492
5411-2,TERMINAL LUG,,43,43
707-1604,TERMINAL LUG,,79,79
BACT12AC3,TERMINAL LUG,,3,3
F271,TERMINAL LUG,13032093,2,2
M7928/1-8,TERMINAL LUG,,5,5
M7928/4-103,TERMINAL LUG,,43,43
M7928/4-156,TERMINAL LUG,,41,41
MS25036-135,TERMINAL LUG,,10,10
MS25036-8,TERMINAL LUG,,16,16
MS25435-7,TERMINAL LUG,,2,2
MS25435-8,TERMINAL LUG,,2,2
MS35430-9,TERMINAL LUG,,3,3
R5106 TERMINAL,TERMINAL LUG,,5,5
RAX63,TERMINAL LUG,MS25036-145,6,6
RB753,TERMINAL LUG,MS25036-155,69,69
RC333,TERMINAL LUG,MS25036-111,55,55
RC733,TERMINAL LUG,MS25036-114,10,10
RD10721,TERMINAL LUG,MS25036-117,150,150
RE10261,TERMINAL LUG,MS25036-119,11,11
RG9751,TERMINAL LUG,MS25036-128,3,3
RM9731,TERMINAL LUG,MS25036-140,1,1
YAEV4C-H3,TERMINAL LUG,,15,15
SJT507404,TERMINAL RAIL,M81714/67-07,1,1,,M81714/67-07,,
BACT12AC52,TERMINAL RING,,25,25
NAS1063B3-3,TERMINAL STRIP,,6,6
TSW-105-08-G-D,TERMINAL STRIP,,50,50
TSW-108-08-G-D,TERMINAL STRIP,,99,99
M55155/29-5,TERMINAL STUD,,39,39
SE26XF01,TERMINAL STUD,M55155/26-XF01,18,18
LS7000A6-25,TERMINAL BLOCK ASSY,,1,1
51864-6,TERMINAL LUG CRIMP,M7928/1-40,44,44
RT500078,TERMINATION,,3,3
TA-5MN,TERMINATION,,50,50
5-09613,THERMOMETER,MS28028-1,106,106
MS28028-2,THERMOMETER,,2,2
3153-0009-0042,THERMOSTAT,5400010103-1,4,4
812446-7,THRESHOLD,,3,3
812591-6,THRESHOLD,,7,7
812641-5,THRESHOLD,812641-3,6,6
812948-3,THRESHOLD,,4,4
820000-411,TIE DOWN,,1,1
105-0707-001,TIP JACK YELLOW,,12,12
13AT280,TOGGLE SWITCH,5930-00-222-8394,24,24,,120-071-1,,,,,,
7664K5,TOGGLE SWITCH,MS25068-23,8,8,,C41-3273,,,,266-0071-000,,,,C5861,,
8838KP2,TOGGLE SWITCH,5930-01-231-2518,2,2,,8421502,,
8869K1,TOGGLE SWITCH,MS90311-211,41,41,,418396-0211,,,,5930-00-945-1834,,,,C10197,,
8906K1322,TOGGLE SWITCH,5930-00-923-0592,42,42,,369A4580,,
T3-10016,TOGGLE SWITCH,9021720108-1,25,25
805413-31,TORQUE,,2,2
812247-7,TRACK,,1,1
815798-17,TRACK,,3,3
818846-23,TRACK,,7,7
PC-TRAC 1550,TRACKBALL,CST1550,4,4
LT1181AISW,TRANSCEIVER,,13,13
MAX13081EESA,TRANSCEIVER,,32,32
903B50C,TRANSDUCER,,10,10
F3-120,TRANSFORMER,,4,4
MMT1-H,TRANSFORMER,,5,5
MT33H,TRANSFORMER,,1,1
P-8609,TRANSFORMER,P8609,9,9
S30489-1,TRANSFORMER,,6,6
10722-2,TRANSISTOR PAD,,64,64
382S034-25S-0,TRANSITION,382S034-25S,24,24
806866-7,TRAY,,2,2
811897-2,TRIM,,2,2
811897-3,TRIM,,6,6
811897-4,TRIM,,4,4
812457-10,TRIM,,10,10
812583-1,TRIM,,2,2
812916-1,TRIM,,2,2
812939-3,TRIM,,4,4
815255-10,TRIM,,1,1
815255-13,TRIM,,6,6
815255-14,TRIM,,8,8
815255-20,TRIM,,2,2
815255-5,TRIM,,8,8
815256-5,TRIM,,4,4
815256-7,TRIM,,1,1
815798-1,TRIM,,5,5
817618-17AJ,TRIM,,15,15
817618-19E,TRIM,,16,16
828816-401E,TRIM,1843147,7,7
829918-1,TRIM,,2,2
831649-5,TRIM,,7,7
815270-29,TRIM SEAL,,2,2
809522-3,TRUNNIO,,1,1
145054-1,TUBE,1820704,6,6
145064-1,TUBE,1820824,6,6
145675-3,TUBE,,13,13
146172-5,TUBE,,4,4
148942-9,TUBE,,2,2
160082-1,TUBE,,2,2
803469-1,TUBE,,3,3
806907-201,TUBE,,2,2
808761-7,TUBE,,1,1
808762-5,TUBE,1821583,2,2
808764-3,TUBE,,4,4
812075-3,TUBE,,1,1
817534-3,TUBE,,15,15
821312-3,TUBE,,5,5
821312-5,TUBE,,1,1
829462-1,TUBE,,4,4
832886-11,TUBE,,8,8
TU9.5L-15,TUBE,,2,2
140562-1,TUBE ASSY,,1,1
142462-1,TUBE ASSY,,10,10
153922,TUBE ASSY,,1,1
581-102,TUBE ASSY,580-102,136,136
801535-5,TUBE ASSY,,2,2
837318-401,TUBE VENT,,1,1
153904,TUBEMOUNTING,,87,87
812075-33,TUBE-FRONT,,1,1
*ENGRAVING,USE ENGRAVING,,105,105
201207-403,VALUE A,4820-00-003-6999,8,8
142675-39,VALVE,,1,1
148444,VALVE,,5,5
5784,VALVE,,13,13
S1827-1,VALVE,,2,2
VC9,VALVE CAP,TRVC9,100,100
C2,VALVE CORE,,200,200
WA5293-101-101,VALVE SOLENOID ACTUATED,,1,1
837313-425,VALVECHECKASSY,,1,1
NH15720,VIDEO SWITCH,,4,4
L7815CV,VOLTAGE REGULATOR,,1,1
RSE120025,W/O CONTACTS,BACS16AH1,161,161
140172,WASHER,4820-01-454-3675,9,9
142682-2,WASHER,,368,368
142682-3,WASHER,,102,102
142682-4,WASHER,,748,748
155812,WASHER,5310-00-410-8766,7,7
156072-2,WASHER,,76,76
156202,WASHER,5310-00-480-9895,19,19
156272,WASHER,,1,1
156812,WASHER,5310-00-177-7712,183,183
240-030SS12A,WASHER,L10303-1,200,200
304-030SS12A,WASHER,L10303-2,100,100
3502-20-10-0511,WASHER,3502-20-10/0511,59,59
352-030SS12A,WASHER,L10303-3,100,100
809055-3,WASHER,,8,8
809716-3,WASHER,,3,3
815866-3,WASHER,,5,5
817903-1,WASHER,,15,15
LS1588-12,WASHER,,18,18
NAS1149C0416R,WASHER,,1000,1000
NAS1149C1165R,WASHER,,600,600
NAS1149C1616R,WASHER,,68,68
NAS1523C3H,WASHER,,2,2
WA5499-251-700,WASHER,,3,3
WA5499-320-300,WASHER,,309,309
WA5499-325-201,WASHER,,20,20
Y30450501,WASHER,,100,100
NAS620C416LP,WASHER FLAT,790126,2017,2017
WE459-4D16,WASHER INT TOOTH,,1,1
Y7-0,WASHER FLAT,,1000,1000
148412,WASHERFLANGE,,105,105
148762,WASHERFLANGE,,3,3
800-554,WHT DISPLAY SCREEN,801-554,11,11,,226-03254-110,,
806120-3,WINDOW,,3,3
811130-139,WINDOW,1820549,1,1
813146-621,WINDOW,,11,11
813146-640,WINDOW,,6,6
808774-408,WING ASSY,,12,12
D-110-0181,WIRE SPLICE,,73,73
D-110-41,WIRE SPLICE,,100,100
329697,WIRE TERMINAL,,221,221
NSA935401-03,WIRE TIE,,200,200
42845,WRENCH SET,,1,1
XL-205F,XENO ENERGY D BATTERY,,126,126
817631-3,YOKE,,3,3
